Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,15726,2023-03-10,-0.104524771,-0.090928716,-0.086803431,21,100
Market-Adjusted Model,15729,2023-03-10,-0.192869269,-0.180889367,-0.175147929,21,100
Market-Adjusted Model,15731,2023-03-10,-0.100141062,-0.086797459,-0.082419722,21,100
Market-Adjusted Model,15732,2023-03-10,-0.079539135,-0.06312291,-0.061817796,21,100
Market-Adjusted Model,15735,2023-03-10,0.0122830514,0.0307889343,0.0300043911,21,100
Market-Adjusted Model,15775,2023-03-10,-0.372748623,-0.294066629,-0.355027284,21,100
Market-Adjusted Model,15776,2023-03-10,-0.12185297,-0.104204444,-0.10413163,21,100
Market-Adjusted Model,15778,2023-03-10,-0.131777977,-0.121583327,-0.114056637,21,100
Market-Adjusted Model,15779,2023-03-10,-0.237668141,-0.239944103,-0.219946802,21,100
Market-Adjusted Model,15782,2023-03-10,-0.128892405,-0.117234702,-0.111171066,21,100
Market-Adjusted Model,15784,2023-03-10,-0.273408238,-0.285349658,-0.255686899,21,100
Market-Adjusted Model,15785,2023-03-10,-0.008071055,0.0107452152,0.0096502842,21,100
Market-Adjusted Model,15787,2023-03-10,-0.280945217,-0.290899152,-0.263223877,21,100
Market-Adjusted Model,15789,2023-03-10,-0.269766286,-0.283764187,-0.252044947,21,100
Market-Adjusted Model,15791,2023-03-10,0.015550753,0.0833449147,0.0332720926,21,100
Market-Adjusted Model,15793,2023-03-10,0.2258703638,0.2523471157,0.2435917034,21,100
Market-Adjusted Model,15795,2023-03-10,-0.095360773,-0.074587302,-0.077639433,21,100
Market-Adjusted Model,15796,2023-03-10,-0.120938637,-0.095719371,-0.103217298,21,100
Market-Adjusted Model,15802,2023-03-10,0.0193636774,0.0381016257,0.0370850171,21,100
Market-Adjusted Model,15814,2023-03-10,-0.053921914,-0.037638361,-0.036200574,21,100
Market-Adjusted Model,15815,2023-03-10,-0.014633432,0.0026578663,0.0030879081,21,100
Market-Adjusted Model,15817,2023-03-10,-0.059502054,-0.042844459,-0.041780714,21,100
Market-Adjusted Model,15823,2023-03-10,-0.025842297,-0.008207034,-0.008120957,21,100
Market-Adjusted Model,15826,2023-03-10,-0.181658802,-0.161420781,-0.163937463,21,100
Market-Adjusted Model,15830,2023-03-10,-0.040873298,-0.024155941,-0.023151958,21,100
Market-Adjusted Model,15831,2023-03-10,0.0004843971,0.0261741736,0.0182057367,21,100
Market-Adjusted Model,15833,2023-03-10,-0.406557385,-0.46972545,-0.388836045,21,100
Market-Adjusted Model,15837,2023-03-10,-0.013157883,0.0162130707,0.0045634567,21,100
Market-Adjusted Model,15838,2023-03-10,-0.196194211,-0.189088699,-0.178472872,21,100
Market-Adjusted Model,15839,2023-03-10,-0.033571619,-0.017131074,-0.015850279,21,100
Market-Adjusted Model,15840,2023-03-10,-0.202217711,-0.194189881,-0.184496372,21,100
Market-Adjusted Model,15842,2023-03-10,-0.026193819,-0.009228227,-0.008472479,21,100
Market-Adjusted Model,15845,2023-03-10,-0.048152685,-0.030801965,-0.030431345,21,100
Market-Adjusted Model,15846,2023-03-10,-0.054187198,-0.03003095,-0.036465858,21,100
Market-Adjusted Model,15847,2023-03-10,-0.019950107,0.0040320188,-0.002228767,21,100
Market-Adjusted Model,15848,2023-03-10,-0.063636376,-0.015739329,-0.045915036,21,97
Market-Adjusted Model,15850,2023-03-10,-0.078826733,-0.058612139,-0.061105393,21,100
Market-Adjusted Model,15853,2023-03-10,-0.098004873,-0.080491865,-0.080283534,21,100
Market-Adjusted Model,15854,2023-03-10,-0.267123271,-0.26091537,-0.249401931,21,100
Market-Adjusted Model,15855,2023-03-10,-0.086513938,-0.072579872,-0.068792599,21,100
Market-Adjusted Model,15856,2023-03-10,0.0650288711,0.0994074979,0.0827502107,21,100
Market-Adjusted Model,15857,2023-03-10,-0.157647081,-0.14176374,-0.139925742,21,100
Market-Adjusted Model,15859,2023-03-10,-0.041443541,-0.022981321,-0.023722201,21,100
Market-Adjusted Model,15860,2023-03-10,0.0027026971,0.0277512565,0.0204240367,21,100
Market-Adjusted Model,15862,2023-03-10,-0.113320111,-0.090750582,-0.095598771,21,100
Market-Adjusted Model,15863,2023-03-10,-0.335208395,-0.193460906,-0.317487056,21,100
Market-Adjusted Model,15884,2023-03-10,-0.158653819,-0.153248348,-0.140932479,21,100
Market-Adjusted Model,15887,2023-03-10,-0.060775794,-0.045160173,-0.043054455,21,100
Market-Adjusted Model,15888,2023-03-10,-0.033320679,-0.014913336,-0.015599339,21,100
Market-Adjusted Model,15889,2023-03-10,-0.052918396,-0.036507161,-0.035197056,21,100
Market-Adjusted Model,15890,2023-03-10,-0.063650022,-0.047442067,-0.045928683,21,100
Market-Adjusted Model,15891,2023-03-10,-0.078208585,-0.063090115,-0.060487245,21,100
Market-Adjusted Model,15892,2023-03-10,-0.006535931,0.0112546125,0.0111854089,21,100
Market-Adjusted Model,15896,2023-03-10,-0.28222995,-0.270829882,-0.264508611,21,100
Market-Adjusted Model,15902,2023-03-10,-0.315245935,-0.322136972,-0.297524595,21,100
Market-Adjusted Model,15903,2023-03-10,-0.038871213,-0.021900901,-0.021149873,21,100
Market-Adjusted Model,15904,2023-03-10,-0.476784709,-0.568607468,-0.459063369,21,100
Market-Adjusted Model,15906,2023-03-10,-0.147631311,-0.132190695,-0.129909971,21,100
Market-Adjusted Model,15909,2023-03-10,-0.104963977,-0.082001043,-0.087242637,21,100
Market-Adjusted Model,15912,2023-03-10,-0.052784614,-0.031912802,-0.035063275,21,100
Market-Adjusted Model,15913,2023-03-10,-0.168918919,-0.154318313,-0.151197579,21,100
Market-Adjusted Model,15914,2023-03-10,-0.361809064,-0.403098855,-0.344087724,21,100
Market-Adjusted Model,15919,2023-03-10,-0.018906038,0.001928833,-0.001184698,21,100
Market-Adjusted Model,15920,2023-03-10,0.0663899725,0.0869407647,0.0841113121,21,100
Market-Adjusted Model,15922,2023-03-10,0.0303018682,0.0469995888,0.0480232078,21,100
Market-Adjusted Model,15927,2023-03-10,-0.073528871,-0.058034767,-0.055807531,21,100
Market-Adjusted Model,15930,2023-03-10,-0.003849237,0.0133342669,0.0138721024,21,100
Market-Adjusted Model,15936,2023-03-10,-0.015900692,0.0086742956,0.0018206475,21,100
Market-Adjusted Model,15937,2023-03-10,-0.205537829,-0.19929149,-0.187816489,21,100
Market-Adjusted Model,15943,2023-03-10,-0.007998722,0.0177146276,0.009722618,21,100
Market-Adjusted Model,15945,2023-03-10,-0.055075428,-0.038047992,-0.037354089,21,100
Market-Adjusted Model,15946,2023-03-10,-0.062624309,-0.045626766,-0.044902969,21,100
Market-Adjusted Model,15948,2023-03-10,-0.136400196,-0.122439931,-0.118678857,21,100
Market-Adjusted Model,15950,2023-03-10,-0.53935859,-0.581846726,-0.521637251,21,100
Market-Adjusted Model,15960,2023-03-10,-0.097437963,-0.072203933,-0.079716623,21,100
Market-Adjusted Model,15961,2023-03-10,-0.107456086,-0.069035186,-0.089734746,21,100
Market-Adjusted Model,15965,2023-03-10,-0.081483256,-0.065248601,-0.063761916,21,100
Market-Adjusted Model,15969,2023-03-10,-0.128172617,-0.077083572,-0.110451277,21,100
Market-Adjusted Model,15971,2023-03-10,-0.088028171,-0.058843927,-0.070306831,21,100
Market-Adjusted Model,15972,2023-03-10,-0.015072438,0.0025856177,0.0026489018,21,100
Market-Adjusted Model,15973,2023-03-10,-0.064191449,-0.04839866,-0.046470109,21,100
Market-Adjusted Model,15976,2023-03-10,-0.134430192,-0.120644045,-0.116708852,21,100
Market-Adjusted Model,15977,2023-03-10,-0.0082814,0.0091664533,0.0094399394,21,100
Market-Adjusted Model,15978,2023-03-10,-0.241534978,-0.252554417,-0.223813638,21,100
Market-Adjusted Model,15979,2023-03-10,-0.043932967,-0.02704327,-0.026211627,21,100
Market-Adjusted Model,15980,2023-03-10,-0.106334841,-0.086392869,-0.088613502,21,100
Market-Adjusted Model,15981,2023-03-10,0.0167291857,0.0351641281,0.0344505253,21,100
Market-Adjusted Model,15984,2023-03-10,-0.03224362,-0.012669638,-0.01452228,21,100
Market-Adjusted Model,15985,2023-03-10,-0.025434689,-0.007247401,-0.007713349,21,100
Market-Adjusted Model,15986,2023-03-10,0.0086198257,0.0262690464,0.0263411653,21,100
Market-Adjusted Model,15994,2023-03-10,-0.020265744,-0.002459758,-0.002544404,21,100
Market-Adjusted Model,15995,2023-03-10,-0.29168318,-0.3044846,-0.273961841,21,100
Market-Adjusted Model,15996,2023-03-10,-0.02537191,-0.00672716,-0.007650571,21,100
Market-Adjusted Model,15997,2023-03-10,-0.03734446,-0.019452823,-0.01962312,21,100
Market-Adjusted Model,15998,2023-03-10,-0.216641455,-0.220827801,-0.198920115,21,100
Market-Adjusted Model,15999,2023-03-10,-0.219329795,-0.219463634,-0.201608455,21,100
Market-Adjusted Model,16000,2023-03-10,-0.219696972,-0.225148084,-0.201975633,21,100
Market-Adjusted Model,16005,2023-03-10,-0.249999973,-0.234218842,-0.232278633,21,100
Market-Adjusted Model,16006,2023-03-10,-0.012038363,0.0057437698,0.0056829769,21,100
Market-Adjusted Model,16007,2023-03-10,-0.057142867,-0.006183841,-0.039421528,21,100
